DBN,School Name,Borough, District,School Type,Split Sited,Co-located at Any Site,Total Enrollment,Grades 3K-5 Enrollment,Grades 6-8 Enrollment,Grades 9-12 Enrollment,% Asian,% Black,% Hispanic,% Multiracial,% Native American,% White,% Missing Race/Ethnicity Data,% SWD,% ELL,% Poverty,2024-25 ELA # Tested,2024-25 ELA # Proficient (L3&4),2024-25 ELA % Proficient (L3&4),2024-25 Math # Tested,2024-25 Math # Proficient (L3&4),2024-25 Math % Proficient (L3&4),2023-24 Total 4-year August Grad Cohort,2023-24 % 4-year August Graduates,2023-24 Total 6-year Grad Cohort,2023-24 % 6-year Graduates
01M015,P.S. 015 Roberto Clemente,M,01,Elementary,,Y,159,159,0,0,8.8%,21.4%,62.3%,3.8%,0.6%,3.1%,0.0%,25.2%,6.9%,91.2%,70,47,67.1%,72,43,59.7%,,,,
01M063,The STAR Academy - P.S.63,M,01,Elementary,,Y,196,196,0,0,3.1%,15.8%,69.4%,1.0%,0.0%,10.7%,0.0%,35.7%,13.8%,79.1%,49,21,42.9%,58,15,25.9%,,,,
01M064,P.S. 064 Robert Simon,M,01,Elementary,,Y,149,149,0,0,0.7%,23.5%,67.8%,2.0%,0.7%,4.7%,0.7%,29.5%,7.4%,85.2%,59,24,40.7%,61,24,39.3%,,,,
01M142,P.S. 142 Amalia Castro,M,01,Elementary,,Y,365,365,0,0,0.8%,15.9%,77.5%,1.6%,1.9%,2.2%,0.0%,29.3%,16.7%,91.8%,93,43,46.2%,92,42,45.7%,,,,
01M188,P.S. 188 The Island School,M,01,K-8,,Y,344,189,155,0,2.3%,24.7%,68.9%,0.9%,1.7%,1.5%,0.0%,31.7%,23.5%,Above 95%,247,124,50.2%,197,134,68.0%,,,,
01M292,Orchard Collegiate Academy,M,01,High school,,Y,258,0,0,258,14.7%,21.7%,57.4%,0.4%,1.6%,4.3%,0.0%,30.6%,4.3%,87.6%,,,0.0%,,,,75,93.3%,61,96.7%
01M332,University Neighborhood Middle School,M,01,Junior High-Intermediate-Middle,,Y,134,0,134,0,2.2%,20.1%,70.9%,0.7%,0.7%,5.2%,0.0%,46.3%,14.2%,93.3%,112,50,44.6%,85,19,22.4%,,,,
01M361,The Children's Workshop School,M,01,Elementary,,Y,274,274,0,0,7.3%,8.8%,35.8%,9.5%,1.1%,37.6%,0.0%,24.1%,5.5%,51.1%,106,72,67.9%,105,63,60.0%,,,,
01M363,Neighborhood School,M,01,Elementary,,Y,213,213,0,0,4.7%,9.9%,35.2%,7.0%,0.9%,42.3%,0.0%,29.1%,3.8%,44.6%,10,s,70.0%,10,s,30.0%,,,,
01M364,Earth School,M,01,Elementary,,Y,176,176,0,0,3.4%,9.7%,50.6%,10.2%,0.0%,26.1%,0.0%,31.3%,4.0%,61.9%,40,24,60.0%,39,15,38.5%,,,,
01M378,School for Global Leaders,M,01,Junior High-Intermediate-Middle,,Y,152,0,152,0,7.9%,13.8%,63.8%,3.3%,2.6%,8.6%,0.0%,32.2%,20.4%,86.8%,137,66,48.2%,144,90,62.5%,,,,
01M458,Forsyth Satellite Academy,M,01,Transfer High school,,Y,180,0,0,180,2.8%,34.4%,59.4%,0.6%,0.0%,2.8%,0.0%,38.9%,8.3%,90.0%,,,0.0%,,,,100,32.0%,51,52.9%
01M515,Lower East Side Preparatory High School,M,01,Transfer High school,,Y,564,0,0,564,28.5%,12.6%,55.9%,0.4%,0.4%,2.3%,0.0%,9.4%,64.4%,89.2%,,,0.0%,,,,90,46.7%,152,46.7%
01M650,Cascades High School,M,01,Transfer High school,,Y,148,0,0,148,3.4%,39.9%,52.0%,0.7%,0.7%,3.4%,0.0%,39.9%,4.7%,92.6%,,,0.0%,,,,75,38.7%,56,53.6%
01M839,Tompkins Square Middle School,M,01,Junior High-Intermediate-Middle,,Y,293,0,293,0,7.8%,14.7%,58.4%,2.4%,0.3%,16.4%,0.0%,36.9%,2.4%,74.1%,243,117,48.1%,209,85,40.7%,,,,
02M033,P.S. 033 Chelsea Prep,M,02,Elementary,,Y,605,605,0,0,16.7%,15.5%,41.0%,7.1%,1.0%,18.7%,0.0%,15.5%,20.8%,59.7%,257,162,63.0%,272,161,59.2%,,,,
02M040,P.S. 040 Augustus Saint-Gaudens,M,02,Elementary,,Y,538,538,0,0,11.2%,3.5%,15.6%,13.4%,0.4%,55.8%,0.2%,20.6%,2.6%,15.8%,274,237,86.5%,277,243,87.7%,,,,
02M047,47 The American Sign Language and English Secondary School,M,02,High school,,Y,148,0,0,148,4.7%,15.5%,72.3%,1.4%,0.7%,5.4%,0.0%,27.7%,8.8%,89.2%,,,0.0%,,,,40,100.0%,65,100.0%
02M051,P.S. 051 Elias Howe,M,02,Elementary,,Y,444,444,0,0,7.9%,13.5%,61.9%,2.0%,0.5%,14.2%,0.0%,21.6%,36.0%,75.9%,126,69,54.8%,140,70,50.0%,,,,
02M059,P.S. 059 Beekman Hill International,M,02,Elementary,,Y,535,535,0,0,23.6%,3.6%,8.2%,4.9%,0.6%,59.1%,0.2%,13.3%,5.2%,12.7%,218,185,84.9%,222,199,89.6%,,,,
02M077,P.S. 77 Lower Lab School,M,02,Elementary,,Y,364,364,0,0,45.1%,0.8%,7.4%,12.6%,0.0%,33.5%,0.5%,7.7%,0.8%,9.1%,167,165,98.8%,168,167,99.4%,,,,
02M089,P.S. 89,M,02,Elementary,,Y,340,340,0,0,16.8%,2.1%,14.1%,16.5%,0.3%,50.3%,0.0%,19.1%,4.1%,8.8%,121,116,95.9%,123,115,93.5%,,,,
02M114,East Side Middle School,M,02,Junior High-Intermediate-Middle,,Y,425,0,425,0,23.1%,3.1%,16.9%,7.1%,0.5%,48.9%,0.5%,23.8%,2.1%,24.9%,417,343,82.3%,281,236,84.0%,,,,
02M131,M.S. 131,M,02,Junior High-Intermediate-Middle,,Y,261,0,261,0,48.7%,12.6%,33.0%,1.9%,0.0%,3.4%,0.4%,36.0%,29.5%,90.8%,243,97,39.9%,160,86,53.8%,,,,
02M135,The Urban Assembly Early College High School of Emergency Medicine,M,02,High school,,Y,360,0,0,360,2.5%,35.3%,56.9%,0.8%,0.0%,3.3%,1.1%,16.9%,10.0%,88.6%,,,0.0%,,,,58,96.6%,61,95.1%
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,M,02,High school,,Y,339,0,0,339,4.1%,26.0%,65.8%,0.0%,0.0%,4.1%,0.0%,28.3%,6.2%,87.6%,,,0.0%,,,,77,84.4%,106,85.8%
02M158,P.S. 158 Bayard Taylor,M,02,Elementary,,Y,604,604,0,0,13.6%,2.5%,9.3%,7.3%,0.0%,67.2%,0.2%,18.4%,4.3%,14.2%,248,224,90.3%,254,223,87.8%,,,,
02M177,Yorkville East Middle School,M,02,Junior High-Intermediate-Middle,,Y,250,0,250,0,12.0%,5.6%,22.4%,7.2%,0.0%,52.8%,0.0%,24.0%,3.2%,29.6%,230,194,84.3%,155,138,89.0%,,,,
02M198,P.S. 198 Isidor E. Ida Straus,M,02,Elementary,,Y,515,515,0,0,14.2%,7.6%,31.1%,3.5%,2.1%,41.4%,0.2%,18.4%,12.2%,39.6%,190,157,82.6%,199,164,82.4%,,,,
02M212,P.S. 212 Midtown West,M,02,Elementary,,Y,314,314,0,0,11.5%,8.0%,45.9%,9.6%,0.3%,24.8%,0.0%,19.4%,22.3%,51.6%,115,69,60.0%,129,70,54.3%,,,,
02M225,Ella Baker School,M,02,K-8,,Y,335,257,78,0,10.1%,14.6%,37.0%,5.7%,0.0%,32.2%,0.3%,27.8%,10.1%,50.7%,124,87,70.2%,127,78,61.4%,,,,
02M255,M.S. 255 Salk School of Science,M,02,Junior High-Intermediate-Middle,,Y,378,0,378,0,27.5%,2.1%,11.6%,11.6%,0.3%,46.8%,0.0%,19.8%,0.8%,19.0%,349,304,87.1%,248,220,88.7%,,,,
02M276,Battery Park City School,M,02,K-8,,Y,792,514,278,0,23.5%,4.2%,23.9%,9.0%,0.0%,39.5%,0.0%,19.3%,12.0%,20.8%,391,316,80.8%,362,298,82.3%,,,,
02M280,Manhattan Early College School for Advertising,M,02,High school,,Y,389,0,0,389,9.0%,27.5%,59.1%,1.0%,0.3%,2.6%,0.5%,16.7%,11.8%,84.1%,,,0.0%,,,,83,86.7%,109,95.4%
02M281,The River School,M,02,Elementary,,Y,503,503,0,0,36.0%,7.4%,16.3%,3.6%,1.0%,35.8%,0.0%,12.5%,14.5%,22.1%,162,142,87.7%,171,154,90.1%,,,,
02M282,Urban Assembly Maker Academy,M,02,High school,,Y,537,0,0,537,7.3%,25.1%,48.4%,2.2%,0.2%,15.3%,1.5%,25.7%,6.5%,72.6%,,,0.0%,,,,127,92.1%,110,94.5%
02M288,Food and Finance High School,M,02,High school,,Y,485,0,0,485,2.5%,30.7%,60.8%,1.0%,0.6%,3.5%,0.8%,24.5%,6.8%,82.9%,,,0.0%,,,,89,92.1%,99,91.9%
02M289,I.S. 289,M,02,Junior High-Intermediate-Middle,,Y,255,0,255,0,42.0%,8.6%,17.6%,5.1%,0.4%,26.3%,0.0%,21.6%,6.3%,50.6%,223,154,69.1%,176,144,81.8%,,,,
02M294,Essex Street Academy,M,02,High school,,Y,367,0,0,367,5.4%,18.5%,36.2%,3.8%,0.8%,33.0%,2.2%,27.8%,2.2%,63.8%,,,0.0%,,,,89,93.3%,78,96.2%
02M296,High School of Hospitality Management,M,02,High school,,Y,235,0,0,235,2.6%,18.3%,73.6%,0.9%,0.4%,2.6%,1.7%,22.6%,27.2%,91.9%,,,0.0%,,,,58,70.7%,75,88.0%
02M297,M.S. 297,M,02,Junior High-Intermediate-Middle,,Y,297,0,297,0,7.1%,11.1%,57.2%,3.0%,0.7%,20.9%,0.0%,19.9%,39.1%,74.7%,223,96,43.0%,232,71,30.6%,,,,
02M298,Pace High School,M,02,High school,,Y,498,0,0,498,10.2%,32.9%,50.8%,1.2%,0.2%,4.6%,0.0%,22.9%,4.0%,81.3%,,,0.0%,,,,147,85.7%,148,91.9%
02M300,"Urban Assembly School of Design and Construction, The",M,02,High school,,Y,199,0,0,199,0.5%,24.6%,70.9%,0.5%,1.5%,2.0%,0.0%,22.1%,13.6%,84.4%,,,0.0%,,,,69,92.8%,58,89.7%
02M303,"Facing History School, The",M,02,High school,,Y,393,0,126,267,1.5%,18.8%,74.0%,0.5%,1.0%,3.3%,0.8%,26.0%,28.0%,92.4%,98,19,19.4%,102,s,6.9%,82,93.9%,76,94.7%
02M305,"Urban Assembly Academy of Government and Law, The",M,02,High school,,Y,258,0,0,258,11.6%,27.1%,53.5%,1.6%,0.4%,5.0%,0.8%,18.6%,10.5%,85.7%,,,0.0%,,,,66,87.9%,74,98.6%
02M308,Lower Manhattan Arts Academy,M,02,High school,,Y,263,0,0,263,6.1%,30.4%,58.9%,1.1%,0.8%,2.7%,0.0%,27.8%,8.0%,87.8%,,,0.0%,,,,76,82.9%,61,85.2%
02M312,New York City Lab Middle School for Collaborative Studies,M,02,Junior High-Intermediate-Middle,,Y,543,0,543,0,46.2%,4.1%,13.3%,8.7%,0.2%,27.6%,0.0%,20.8%,1.8%,39.4%,518,444,85.7%,344,303,88.1%,,,,
02M313,"James Baldwin School, The: A School for Expeditionary Learning",M,02,Transfer High school,,Y,161,0,0,161,1.9%,34.2%,57.8%,0.6%,3.1%,2.5%,0.0%,31.1%,6.2%,92.5%,,,0.0%,,,,74,39.2%,52,73.1%
02M316,"Urban Assembly School of Business for Young Women, the",M,02,High school,,Y,125,0,0,125,2.4%,29.6%,62.4%,0.8%,0.0%,4.8%,0.0%,12.8%,37.6%,93.6%,,,0.0%,,,,13,76.9%,32,90.6%
02M340,Sixth Avenue Elementary School,M,02,Elementary,,Y,299,299,0,0,9.0%,3.0%,23.4%,15.4%,0.0%,49.2%,0.0%,20.1%,5.7%,23.7%,103,88,85.4%,103,78,75.7%,,,,
02M343,The Peck Slip School,M,02,Elementary,,Y,307,307,0,0,13.7%,6.5%,33.2%,11.1%,0.3%,35.2%,0.0%,16.3%,19.2%,32.6%,117,79,67.5%,120,73,60.8%,,,,
02M347,The 47 American Sign Language & English Lower School,M,02,K-8,,Y,173,134,39,0,6.4%,18.5%,53.2%,3.5%,1.2%,17.3%,0.0%,54.3%,19.7%,74.6%,76,34,44.7%,74,31,41.9%,,,,
02M374,Gramercy Arts High School,M,02,High school,,Y,421,0,0,421,5.5%,25.9%,52.0%,2.1%,0.5%,13.5%,0.5%,16.4%,2.4%,71.3%,,,0.0%,,,,107,96.3%,96,97.9%
02M376,NYC iSchool,M,02,High school,,Y,446,0,0,446,8.3%,12.6%,38.3%,4.7%,0.7%,32.5%,2.9%,27.1%,1.6%,57.8%,,,0.0%,,,,121,96.7%,120,99.2%
02M391,District 2 Pre-K Center,M,02,District Pre-K Center,Y,Y,592,592,0,0,22.6%,6.1%,17.2%,3.2%,0.2%,50.7%,0.0%,13.0%,0.0%,19.6%,,,0.0%,,,,,,,
02M392,Manhattan Business Academy,M,02,High school,,Y,437,0,0,437,5.9%,24.9%,61.8%,0.2%,1.6%,5.5%,0.0%,22.9%,5.7%,89.9%,,,0.0%,,,,93,91.4%,94,92.6%
02M393,Business Of Sports School ,M,02,High school,,Y,401,0,0,401,2.5%,30.2%,64.8%,0.2%,0.0%,2.2%,0.0%,25.9%,8.2%,86.0%,,,0.0%,,,,104,84.6%,92,94.6%
02M394,Emma Lazarus High School,M,02,Transfer High school,,Y,293,0,0,293,34.5%,19.1%,40.3%,0.0%,0.3%,5.8%,0.0%,0.3%,81.6%,Above 95%,,,0.0%,,,,36,44.4%,124,46.0%
02M395,A School Without Walls,M,02,High school,,Y,207,0,0,207,5.8%,30.9%,37.7%,5.8%,0.5%,16.9%,2.4%,33.3%,2.9%,68.1%,,,0.0%,,,,,,,
02M397,Spruce Street School,M,02,K-8,,Y,442,276,166,0,23.1%,5.9%,16.7%,11.5%,0.5%,42.3%,0.0%,17.2%,7.7%,24.0%,248,212,85.5%,205,174,84.9%,,,,
02M399,The High School For Language And Diplomacy,M,02,High school,,Y,132,0,0,132,6.8%,20.5%,60.6%,0.8%,1.5%,8.3%,1.5%,12.9%,34.8%,78.0%,,,0.0%,,,,42,88.1%,75,90.7%
02M400,High School for Environmental Studies,M,02,High school,,Y,995,0,0,995,12.0%,13.5%,54.2%,2.7%,0.9%,15.9%,0.9%,16.1%,5.1%,68.1%,,,0.0%,,,,295,98.0%,262,95.8%
02M407,Institute for Collaborative Education,M,02,Secondary School,,Y,468,0,201,267,6.0%,16.0%,21.2%,7.7%,0.6%,47.0%,1.5%,28.0%,1.1%,33.1%,16,12,75.0%,17,s,52.9%,82,93.9%,64,98.4%
02M408,Professional Performing Arts High School,M,02,Secondary School,,Y,529,0,94,435,5.5%,21.6%,31.6%,5.7%,0.4%,33.6%,1.7%,20.2%,0.9%,42.2%,81,56,69.1%,51,34,66.7%,116,98.3%,114,100.0%
02M412,N.Y.C. Lab School for Collaborative Studies,M,02,High school,,Y,415,0,0,415,28.7%,7.0%,23.6%,4.8%,0.0%,34.9%,1.0%,26.5%,1.2%,55.9%,,,0.0%,,,,103,100.0%,112,100.0%
02M414,N.Y.C. Museum School,M,02,High school,,Y,483,0,0,483,19.7%,7.0%,29.8%,5.2%,0.4%,35.4%,2.5%,20.5%,2.5%,54.0%,,,0.0%,,,,120,100.0%,107,100.0%
02M419,Landmark High School,M,02,High school,,Y,294,0,0,294,2.0%,22.1%,63.6%,0.7%,1.0%,6.8%,3.7%,28.9%,22.1%,86.1%,,,0.0%,,,,89,84.3%,66,80.3%
02M420,High School for Health Professions and Human Services,M,02,High school,,Y,1723,0,0,1723,19.9%,15.1%,53.5%,1.1%,1.0%,8.6%,0.7%,13.1%,3.5%,84.7%,,,0.0%,,,,371,94.9%,439,96.4%
02M422,Quest to Learn,M,02,Secondary School,,Y,376,0,175,201,7.2%,21.3%,52.4%,2.7%,0.8%,15.2%,0.5%,33.0%,19.9%,76.1%,132,47,35.6%,144,38,26.4%,51,76.5%,100,81.0%
02M425,Leadership and Public Service High School,M,02,High school,,Y,267,0,0,267,8.6%,25.5%,61.4%,1.1%,0.4%,2.6%,0.4%,17.2%,16.9%,83.1%,,,0.0%,,,,58,91.4%,72,97.2%
02M427,Manhattan Academy For Arts & Language,M,02,High school,,Y,288,0,0,288,0.3%,6.3%,91.3%,0.0%,0.0%,1.7%,0.3%,4.5%,83.3%,93.1%,,,0.0%,,,,31,90.3%,38,92.1%
02M432,Murray Hill Academy,M,02,Transfer High school,,Y,300,0,0,300,15.7%,20.3%,49.3%,2.7%,0.7%,10.3%,1.0%,18.7%,4.0%,78.7%,,,0.0%,,,,60,88.3%,63,88.9%
02M437,Hudson High School of Learning Technologies,M,02,High school,,Y,187,0,0,187,4.3%,25.1%,64.7%,0.5%,0.0%,5.3%,0.0%,22.5%,21.9%,81.3%,,,0.0%,,,,47,83.0%,106,93.4%
02M438,International High School at Union Square,M,02,High school,,Y,361,0,0,361,6.9%,14.1%,73.4%,0.0%,0.6%,4.2%,0.8%,1.7%,86.1%,85.3%,,,0.0%,,,,68,85.3%,94,92.6%
02M449,Vanguard High School,M,02,High school,,Y,398,0,0,398,3.3%,26.1%,59.8%,0.8%,0.8%,9.3%,0.0%,25.6%,6.5%,81.7%,,,0.0%,,,,109,88.1%,90,95.6%
02M459,Manhattan International High School,M,02,High school,,Y,358,0,0,358,5.6%,13.1%,71.2%,0.0%,0.8%,8.9%,0.3%,2.5%,71.5%,87.4%,,,0.0%,,,,83,85.5%,73,91.8%
02M475,Stuyvesant High School,M,02,High school,,Y,3266,0,0,3266,71.8%,2.1%,4.3%,4.9%,0.3%,16.6%,0.0%,1.9%,0.0%,49.4%,,,0.0%,,,,804,98.5%,808,99.6%
02M500,Unity Center for Urban Technologies,M,02,High school,,Y,256,0,0,256,11.7%,14.5%,64.1%,1.2%,1.6%,7.0%,0.0%,18.0%,22.7%,85.9%,,,0.0%,,,,82,93.9%,89,98.9%
02M507,Urban Assembly Gateway School for Technology,M,02,High school,,Y,405,0,0,405,7.2%,18.8%,60.5%,0.2%,1.2%,11.1%,1.0%,26.7%,3.5%,69.9%,,,0.0%,,,,95,100.0%,113,97.3%
02M519,Talent Unlimited High School,M,02,High school,,Y,462,0,0,462,5.0%,19.0%,56.7%,3.9%,0.4%,14.3%,0.6%,18.6%,1.5%,66.9%,,,0.0%,,,,106,92.5%,137,98.5%
02M520,Murry Bergtraum High School for Business Careers,M,02,High school,,Y,133,0,0,133,3.0%,36.1%,54.9%,2.3%,1.5%,2.3%,0.0%,14.3%,4.5%,90.2%,,,0.0%,,,,37,91.9%,13,76.9%
02M533,Union Square Academy for Health Sciences,M,02,High school,,Y,520,0,0,520,15.0%,15.4%,57.5%,1.3%,1.7%,7.5%,1.5%,13.3%,6.7%,85.8%,,,0.0%,,,,93,96.8%,92,97.8%
02M542,Manhattan Bridges High School,M,02,High school,,Y,395,0,0,395,0.0%,0.3%,98.7%,0.0%,0.0%,0.0%,1.0%,7.8%,38.0%,Above 95%,,,0.0%,,,,105,93.3%,116,94.0%
02M543,New Design High School,M,02,High school,,Y,415,0,0,415,5.8%,28.0%,60.2%,1.2%,1.2%,3.4%,0.2%,25.3%,5.3%,84.6%,,,0.0%,,,,118,95.8%,111,95.5%
02M544,Independence High School,M,02,Transfer High school,,Y,270,0,0,270,1.9%,35.9%,57.8%,0.4%,1.5%,2.6%,0.0%,30.4%,24.4%,92.2%,,,0.0%,,,,131,35.1%,122,49.2%
02M545,High School for Dual Language and Asian Studies,M,02,High school,,Y,363,0,0,363,93.7%,0.8%,1.9%,0.8%,0.6%,1.9%,0.3%,5.0%,11.8%,77.1%,,,0.0%,,,,93,97.8%,98,99.0%
02M546,Academy for Software Engineering,M,02,High school,,Y,441,0,0,441,15.6%,25.4%,51.5%,1.6%,0.5%,5.0%,0.5%,25.6%,6.1%,83.4%,,,0.0%,,,,87,82.8%,116,94.8%
02M560,High School M560 - City As School,M,02,Transfer High school,,Y,545,0,0,545,3.3%,30.8%,48.6%,2.2%,1.3%,13.8%,0.0%,39.1%,5.9%,78.7%,,,0.0%,,,,240,42.5%,233,64.8%
02M565,Urban Academy Laboratory High School,M,02,Transfer High school,,Y,131,0,0,131,0.8%,22.1%,42.7%,7.6%,0.0%,26.7%,0.0%,23.7%,2.3%,55.7%,,,0.0%,,,,39,51.3%,35,77.1%
02M580,Richard R. Green High School of Teaching,M,02,High school,,Y,407,0,0,407,12.0%,16.5%,38.1%,4.4%,1.0%,25.6%,2.5%,19.9%,5.4%,60.2%,,,0.0%,,,,67,89.6%,53,86.8%
02M605,Humanities Preparatory Academy,M,02,Transfer High school,,Y,268,0,0,268,7.1%,14.2%,56.0%,1.5%,0.0%,17.2%,4.1%,23.9%,5.2%,67.9%,,,0.0%,,,,47,100.0%,57,96.5%
02M615,Chelsea Career and Technical Education High School,M,02,High school,,Y,388,0,0,388,11.1%,26.0%,55.4%,1.0%,0.5%,5.2%,0.8%,27.1%,8.2%,85.3%,,,0.0%,,,,105,92.4%,87,97.7%
02M630,Art and Design High School,M,02,High school,,Y,1490,0,0,1490,9.0%,12.4%,40.2%,6.6%,0.3%,30.5%,0.9%,22.6%,0.9%,46.8%,,,0.0%,,,,396,95.7%,372,98.4%
02M896,Lower Manhattan Community Middle School,M,02,Junior High-Intermediate-Middle,,Y,312,0,312,0,23.4%,9.3%,30.4%,5.8%,0.0%,31.1%,0.0%,27.6%,11.5%,51.3%,237,192,81.0%,165,123,74.5%,,,,
03M009,P.S. 009 Sarah Anderson,M,03,Elementary,,Y,529,529,0,0,8.7%,2.6%,15.3%,10.6%,0.4%,61.4%,0.9%,19.3%,5.3%,14.7%,226,194,85.8%,229,199,86.9%,,,,
03M076,P.S. 076 A. Philip Randolph,M,03,K-8,,Y,238,147,91,0,0.4%,52.1%,36.1%,0.4%,0.4%,10.5%,0.0%,24.4%,16.0%,Above 95%,121,39,32.2%,86,16,18.6%,,,,
03M149,P.S. 149 Sojourner Truth,M,03,K-8,,Y,255,156,99,0,3.5%,42.4%,48.6%,0.8%,1.2%,3.5%,0.0%,32.2%,20.0%,93.7%,143,54,37.8%,153,80,52.3%,,,,
03M165,P.S. 165 Robert E. Simon,M,03,Elementary,,Y,459,459,0,0,8.7%,13.3%,45.5%,3.9%,0.4%,27.9%,0.2%,20.0%,9.2%,55.8%,190,101,53.2%,196,89,45.4%,,,,
03M185,The Locke School of Arts and Engineering,M,03,Elementary,,Y,329,329,0,0,2.4%,28.3%,38.3%,11.6%,0.6%,18.8%,0.0%,21.3%,4.3%,59.9%,91,47,51.6%,92,37,40.2%,,,,
03M241,STEM Institute of Manhattan,M,03,Elementary,,Y,142,142,0,0,1.4%,53.5%,39.4%,1.4%,2.1%,2.1%,0.0%,27.5%,21.8%,94.4%,50,15,30.0%,49,14,28.6%,,,,
03M242,P.S. 242 - The Young Diplomats Magnet Academy,M,03,Elementary,,Y,147,147,0,0,2.0%,34.0%,61.9%,1.4%,0.0%,0.7%,0.0%,11.6%,40.8%,Above 95%,60,19,31.7%,64,18,28.1%,,,,
03M243,M.S. 243 Center School,M,03,Junior High-Intermediate-Middle,,Y,246,64,182,0,8.1%,11.0%,15.9%,8.1%,0.0%,56.1%,0.8%,27.2%,0.8%,20.7%,239,201,84.1%,176,146,83.0%,,,,
03M245,M.S. M245 The Computer School,M,03,Junior High-Intermediate-Middle,,Y,370,0,370,0,4.6%,11.4%,29.2%,8.4%,0.8%,44.9%,0.8%,21.1%,1.9%,34.6%,360,288,80.0%,241,197,81.7%,,,,
03M247,M.S. M247 Dual Language Middle School,M,03,Junior High-Intermediate-Middle,,Y,164,0,164,0,0.6%,1.8%,95.7%,0.0%,0.0%,1.8%,0.0%,18.9%,58.5%,92.7%,97,52,53.6%,64,21,32.8%,,,,
03M256,Lafayette Academy,M,03,Junior High-Intermediate-Middle,,Y,199,0,199,0,0.0%,20.6%,36.7%,8.0%,0.0%,34.7%,0.0%,24.6%,20.1%,56.3%,138,102,73.9%,151,102,67.5%,,,,
03M258,Community Action School - MS 258,M,03,Junior High-Intermediate-Middle,,Y,139,0,139,0,0.0%,28.1%,65.5%,1.4%,0.7%,4.3%,0.0%,43.2%,24.5%,95.0%,93,34,36.6%,66,19,28.8%,,,,
03M307,"Urban Assembly School for Media Studies, The",M,03,High school,,Y,332,0,0,332,3.0%,24.4%,65.7%,0.6%,0.6%,5.7%,0.0%,35.8%,17.2%,84.0%,,,0.0%,,,,73,93.2%,101,95.0%
03M333,P.S. 333 Manhattan School for Children,M,03,K-8,,Y,448,311,137,0,4.2%,17.6%,40.8%,6.0%,0.7%,30.4%,0.2%,31.9%,19.2%,55.4%,231,140,60.6%,182,99,54.4%,,,,
03M334,The Anderson School,M,03,K-8,,Y,522,334,188,0,31.8%,3.3%,10.9%,11.1%,0.0%,42.9%,0.0%,9.4%,0.0%,9.2%,347,342,98.6%,293,288,98.3%,,,,
03M402,The Urban Assembly School for Green Careers,M,03,High school,,Y,323,0,0,323,1.5%,16.4%,75.9%,0.6%,0.9%,3.7%,0.9%,26.3%,22.0%,88.5%,,,0.0%,,,,56,87.5%,66,95.5%
03M403,The Global Learning Collaborative,M,03,High school,,Y,393,0,0,393,1.5%,20.4%,71.8%,1.5%,0.5%,3.8%,0.5%,24.4%,13.5%,91.3%,,,0.0%,,,,106,94.3%,110,95.5%
03M404,Innovation Diploma Plus,M,03,Transfer High school,,Y,125,0,0,125,0.8%,23.2%,74.4%,0.0%,0.0%,1.6%,0.0%,19.2%,8.8%,92.8%,,,0.0%,,,,71,29.6%,40,50.0%
03M415,Wadleigh Secondary School for the Performing & Visual Arts,M,03,Secondary School,,Y,315,0,41,274,1.9%,35.9%,54.9%,2.5%,1.9%,2.5%,0.3%,25.1%,1.9%,87.3%,35,13,37.1%,23,s,21.7%,78,100.0%,45,100.0%
03M417,Frank McCourt High School,M,03,High school,,Y,410,0,0,410,4.9%,16.8%,51.2%,3.4%,0.0%,23.4%,0.2%,22.7%,2.2%,67.1%,,,0.0%,,,,99,100.0%,81,97.5%
03M479,Beacon High School,M,03,High school,,Y,1378,0,0,1378,13.4%,12.4%,32.5%,3.8%,0.9%,34.9%,2.1%,20.5%,0.6%,60.0%,,,0.0%,,,,371,96.5%,367,99.7%
03M492,"High School for Law, Advocacy and Community Justice",M,03,High school,,Y,531,0,0,531,3.4%,25.8%,65.2%,0.2%,0.4%,4.7%,0.4%,20.3%,14.1%,86.4%,,,0.0%,,,,95,84.2%,83,94.0%
03M494,High School of Arts and Technology,M,03,High school,,Y,393,0,0,393,2.8%,30.0%,63.6%,1.8%,0.5%,1.3%,0.0%,31.0%,9.4%,88.3%,,,0.0%,,,,98,84.7%,112,90.2%
03M541,Manhattan / Hunter Science High School,M,03,High school,,Y,449,0,0,449,26.1%,12.7%,41.0%,1.6%,0.2%,17.6%,0.9%,18.5%,0.9%,73.1%,,,0.0%,,,,108,96.3%,108,99.1%
03M610,Young Women's Leadership School,M,03,Secondary School,,Y,361,0,93,268,5.0%,33.8%,53.2%,1.1%,1.1%,4.7%,1.1%,25.8%,4.2%,82.0%,83,33,39.8%,53,10,18.9%,77,98.7%,75,100.0%
03M859,Special Music School,M,03,K-12 all grades,Y,Y,306,84,46,176,20.3%,5.6%,16.0%,18.6%,0.0%,38.6%,1.0%,14.7%,1.6%,24.2%,75,75,100.0%,70,70,100.0%,47,97.9%,42,100.0%
03M860,Frederick Douglass Academy II Secondary School,M,03,Secondary School,,Y,315,0,52,263,1.6%,58.1%,32.7%,1.0%,2.9%,3.8%,0.0%,32.7%,12.7%,92.1%,48,15,31.3%,25,s,24.0%,58,82.8%,55,89.1%
