DBN,School Name,Borough, District,School Type,Split Sited,Co-located at Any Site,Total Enrollment,Grades 3K-5 Enrollment,Grades 6-8 Enrollment,Grades 9-12 Enrollment,% Asian,% Black,% Hispanic,% Multiracial,% Native American,% White,% Missing Race/Ethnicity Data,% SWD,% ELL,% Poverty,2024-25 ELA # Tested,2024-25 ELA # Proficient (L3&4),2024-25 ELA % Proficient (L3&4),2024-25 Math # Tested,2024-25 Math # Proficient (L3&4),2024-25 Math % Proficient (L3&4),2023-24 Total 4-year August Grad Cohort,2023-24 % 4-year August Graduates,2023-24 Total 6-year Grad Cohort,2023-24 % 6-year Graduates
25Q250,I.S. 250 The Robert F. Kennedy Community Middle School,Q,25,Junior High-Intermediate-Middle,,Y,257,0,257,0,22.6%,24.5%,44.7%,1.9%,0.8%,5.4%,0.0%,28.0%,27.6%,82.5%,229,77,33.6%,217,58,26.7%,,,,
25Q252,"Queens School of Inquiry, The",Q,25,Secondary School,,Y,593,0,242,351,32.7%,14.2%,32.4%,2.7%,0.3%,17.4%,0.3%,19.1%,5.2%,64.4%,228,127,55.7%,160,68,42.5%,83,98.8%,79,96.2%
25Q263,Flushing International High School,Q,25,High school,,Y,410,0,0,410,31.7%,0.2%,65.6%,0.0%,0.0%,1.5%,1.0%,2.4%,88.0%,88.5%,,,0.0%,,,,75,74.7%,85,89.4%
25Q281,East-West School of International Studies,Q,25,Secondary School,,Y,703,0,324,379,77.2%,3.4%,16.2%,0.3%,0.1%,2.7%,0.0%,16.2%,15.8%,85.2%,317,235,74.1%,212,175,82.5%,104,94.2%,84,97.6%
25Q285,World Journalism Preparatory: A College Board School,Q,25,Secondary School,,Y,610,0,253,357,15.1%,4.3%,39.8%,2.1%,0.3%,37.7%,0.7%,22.1%,3.6%,58.7%,227,164,72.2%,147,96,65.3%,92,95.7%,90,97.8%
25Q294,BELL Academy,Q,25,Junior High-Intermediate-Middle,,Y,440,0,440,0,43.2%,3.0%,25.5%,3.2%,0.5%,24.8%,0.0%,20.0%,2.3%,43.4%,414,338,81.6%,321,260,81.0%,,,,
25Q460,Flushing High School,Q,25,High school,,Y,1634,0,0,1634,15.2%,5.9%,71.7%,0.4%,0.7%,2.0%,4.0%,16.4%,34.6%,82.7%,,,0.0%,,,,352,84.7%,408,88.2%
25Q499,"The Queens College School for Math, Science and Technology",Q,25,K-8,,Y,536,335,201,0,53.7%,12.7%,20.3%,5.2%,0.9%,7.1%,0.0%,16.4%,4.1%,55.0%,348,284,81.6%,285,231,81.1%,,,,
25Q525,Townsend Harris High School,Q,25,High school,,Y,1342,0,0,1342,57.7%,5.4%,16.1%,2.6%,1.2%,15.5%,1.5%,14.8%,0.3%,57.5%,,,0.0%,,,,344,99.7%,318,100.0%
26Q026,P.S. 026 Rufus King,Q,26,Elementary,,Y,544,544,0,0,52.8%,8.5%,21.9%,1.8%,1.5%,13.6%,0.0%,16.5%,21.1%,71.9%,241,159,66.0%,243,169,69.5%,,,,
26Q041,P.S. 041 Crocheron,Q,26,Elementary,Y,Y,448,448,0,0,60.5%,0.4%,21.2%,2.0%,0.2%,15.6%,0.0%,19.9%,16.1%,47.8%,170,148,87.1%,171,161,94.2%,,,,
26Q186,P.S. 186 Castlewood,Q,26,Elementary,,Y,317,317,0,0,42.3%,12.6%,23.7%,4.1%,1.6%,15.8%,0.0%,39.7%,1.9%,47.9%,119,89,74.8%,123,101,82.1%,,,,
26Q191,P.S. 191 Mayflower,Q,26,Elementary,,Y,331,331,0,0,65.9%,1.5%,22.1%,2.7%,2.1%,5.7%,0.0%,17.8%,17.5%,68.6%,114,77,67.5%,116,90,77.6%,,,,
26Q205,P.S. 205 Alexander Graham Bell,Q,26,Elementary,,Y,224,224,0,0,52.2%,5.4%,23.7%,5.8%,1.3%,11.6%,0.0%,17.4%,11.2%,36.2%,96,80,83.3%,97,82,84.5%,,,,
26Q213,P.S. 213 The Carl Ullman School,Q,26,Elementary,,Y,373,373,0,0,54.7%,7.5%,25.2%,1.9%,0.8%,9.9%,0.0%,19.8%,16.1%,66.5%,157,102,65.0%,165,116,70.3%,,,,
26Q266,P.S./I.S. 266,Q,26,K-8,,Y,468,259,209,0,26.7%,31.0%,26.9%,4.5%,2.6%,8.3%,0.0%,27.4%,5.3%,57.9%,256,155,60.5%,216,122,56.5%,,,,
26Q315,Business Technology Early College High School,Q,26,High school,,Y,599,0,0,599,20.4%,47.6%,24.4%,1.2%,3.0%,3.2%,0.3%,15.9%,3.0%,70.5%,,,0.0%,,,,117,97.4%,121,100.0%
26Q390,The CIVIC School of Bayside Hills,Q,26,Elementary,,Y,147,147,0,0,34.7%,12.2%,27.2%,3.4%,0.7%,21.8%,0.0%,19.0%,4.1%,21.8%,18,14,77.8%,18,16,88.9%,,,,
26Q430,Francis Lewis High School,Q,26,High school,,Y,4577,0,0,4577,64.3%,3.5%,20.7%,0.8%,0.3%,10.0%,0.4%,11.3%,16.8%,69.6%,,,0.0%,,,,1060,91.3%,1077,94.0%
26Q435,Martin Van Buren High School,Q,26,High school,,Y,1140,0,0,1140,33.2%,35.2%,22.7%,0.9%,4.5%,2.8%,0.7%,14.7%,16.4%,75.4%,,,0.0%,,,,253,85.8%,245,92.7%
26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",Q,26,High school,,Y,841,0,0,841,22.1%,43.4%,23.4%,1.8%,4.0%,4.6%,0.6%,21.8%,5.6%,66.2%,,,0.0%,,,,191,93.7%,241,98.3%
27Q042,P.S./M.S 042 R. Vernam,Q,27,K-8,,Y,645,476,169,0,1.4%,62.2%,31.3%,2.0%,1.4%,1.7%,0.0%,25.0%,7.1%,93.0%,335,129,38.5%,337,134,39.8%,,,,
27Q043,P.S. 043,Q,27,K-8,,Y,581,439,142,0,1.7%,53.2%,41.8%,0.7%,0.7%,1.9%,0.0%,29.4%,9.8%,92.8%,298,90,30.2%,262,62,23.7%,,,,
27Q053,M.S. 053 Brian Piccolo,Q,27,Junior High-Intermediate-Middle,,Y,242,0,242,0,2.1%,46.3%,45.0%,0.8%,1.2%,3.7%,0.8%,29.3%,25.2%,94.2%,232,74,31.9%,153,48,31.4%,,,,
27Q202,J.H.S. 202 Robert H. Goddard,Q,27,Junior High-Intermediate-Middle,,Y,906,0,906,0,37.2%,5.5%,47.1%,1.3%,4.6%,4.2%,0.0%,17.8%,13.4%,78.3%,841,487,57.9%,789,456,57.8%,,,,
27Q223,P.S. 223 Lyndon B. Johnson,Q,27,Elementary,,Y,570,570,0,0,9.6%,38.8%,39.5%,1.8%,7.7%,2.6%,0.0%,22.3%,28.8%,91.6%,224,82,36.6%,237,86,36.3%,,,,
27Q226,J.H.S. 226 Virgil I. Grissom,Q,27,Junior High-Intermediate-Middle,,Y,830,0,830,0,24.8%,27.1%,27.2%,1.3%,17.6%,1.7%,0.2%,18.0%,17.7%,90.4%,761,293,38.5%,732,292,39.9%,,,,
